time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-04 00:00:00+00:00,12,6,0,0
2026-02-05 00:00:00+00:00,18,8,3,1
2026-02-06 00:00:00+00:00,9,7,0,0
2026-02-07 00:00:00+00:00,10,4,0,0
2026-02-08 00:00:00+00:00,21,11,0,0
2026-02-09 00:00:00+00:00,19,9,1,1
2026-02-10 00:00:00+00:00,8,4,0,0
2026-02-11 00:00:00+00:00,25,9,0,0
2026-02-12 00:00:00+00:00,7,5,1,1
2026-02-13 00:00:00+00:00,6,4,0,0
2026-02-14 00:00:00+00:00,13,7,0,0
2026-02-15 00:00:00+00:00,16,8,0,0
2026-02-16 00:00:00+00:00,14,8,0,0
2026-02-17 00:00:00+00:00,11,5,1,1
